state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
10,27,4,2009,885122,.0019463211,.48542687,7.5999999,0,0
10,28,6,2009,885122,.0019414744,.48542687,7.8000002,0,0
10,29,7,2009,885122,.001935882,.48542687,8,0,0
10,30,12,2009,885122,.0019193948,.48542687,8.1000004,0,0
10,31,9,2009,885122,.0019224429,.48542687,8.1999998,0,0
10,32,12,2009,885122,.0019181408,.48542687,8.1999998,0,0
10,33,12,2009,885122,.0019169418,.48542687,8.3000002,0,0
10,34,9,2009,885122,.0019150974,.48542687,8.5,0,0
10,35,10,2009,885122,.0019137429,.48542687,8.5,0,0
10,36,5,2009,885122,.0019171193,.48542687,8.6999998,0,0
10,37,8,2010,899769,.00191059,.48500001,8.8000002,0,0
10,38,5,2010,899769,.001910114,.48500001,8.6999998,0,0
10,39,5,2010,899769,.0019023026,.48500001,8.6000004,0,0
10,40,9,2010,899769,.0018990042,.48500001,8.5,0,0
10,41,7,2010,899769,.0018975333,.48500001,8.3999996,0,0
10,42,9,2010,899769,.0018993876,.48500001,8.3000002,0,0
10,43,10,2010,899769,.0018989868,.48500001,8.3000002,0,0
10,44,11,2010,899769,.0018963686,.48500001,8.3000002,0,0
10,45,5,2010,899769,.001895266,.48500001,8.3000002,0,0
10,46,6,2010,899769,.0018929089,.48500001,8.3999996,0,0
10,47,7,2010,899769,.0018921131,.48500001,8.3999996,0,0
10,48,10,2010,899769,.0018888671,.48500001,8.5,0,0
11,1,1,2007,,,,,,0
11,2,7,2007,,,,,,0
11,3,2,2007,,,,,,0
11,4,3,2007,,,,,,0
11,5,1,2007,,,,,,0
11,7,6,2007,,,,,,0
11,8,6,2007,,,,,,0
11,9,3,2007,,,,,,0
11,10,3,2007,,,,,,0
11,11,2,2007,,,,,,0
11,12,2,2007,,,,,,0
11,14,2,2008,,,,,,0
11,15,4,2008,,,,,,0
11,16,2,2008,,,,,,0
11,17,1,2008,,,,,,0
11,18,7,2008,,,,,,0
11,19,3,2008,,,,,,0
11,20,3,2008,,,,,,0
11,21,5,2008,,,,,,0
11,22,2,2008,,,,,,0
11,23,3,2008,,,,,,0
11,25,2,2009,,,,,,0
11,27,2,2009,,,,,,0
11,28,1,2009,,,,,,0
11,29,7,2009,,,,,,0
11,30,1,2009,,,,,,0
11,31,1,2009,,,,,,0
11,32,3,2009,,,,,,0
11,33,1,2009,,,,,,0
11,34,3,2009,,,,,,0
11,35,3,2009,,,,,,0
11,36,4,2009,,,,,,0
11,37,2,2010,,,,,,0
11,38,1,2010,,,,,,0
11,39,3,2010,,,,,,0
11,40,6,2010,,,,,,0
11,42,3,2010,,,,,,0
11,43,3,2010,,,,,,0
11,45,1,2010,,,,,,0
11,46,2,2010,,,,,,0
11,47,2,2010,,,,,,0
11,48,1,2010,,,,,,0
12,1,278,2007,18251244,.0016451268,.4917624,3.4000001,0,0
12,2,224,2007,18251244,.0016363717,.4917624,3.4000001,0,0
12,3,303,2007,18251244,.0016216058,.4917624,3.5,0,0
12,4,263,2007,18251244,.0016111396,.4917624,3.5999999,0,0
12,5,263,2007,18251244,.0016013541,.4917624,3.7,0,0
